Date,Open,High,Low,Close,Adj Close,Volume
2014-01-13,20.860001,22.280001,20.799999,21.790001,20.429125,807000
2014-01-20,21.980000,22.480000,21.000000,21.090000,19.772840,607600
2014-01-27,21.040001,21.590000,20.400000,21.400000,20.063477,401900
2014-02-03,21.330000,21.450001,20.040001,20.610001,19.322819,521400
2014-02-10,20.639999,21.100000,20.110001,20.940001,19.632210,226500
2014-02-17,20.930000,21.320000,20.590000,20.639999,19.374668,194600
2014-02-24,20.639999,20.840000,20.100000,20.430000,19.177538,289100
2014-03-03,20.240000,21.500000,18.860001,19.830000,18.614319,631100
2014-03-10,19.690001,19.730000,16.709999,17.129999,16.079845,3853500
2014-03-17,17.280001,18.650000,17.150000,17.610001,16.530420,2569000
2014-03-24,17.580000,18.110001,17.250000,17.590000,16.511650,880500
2014-03-31,17.670000,18.580000,17.580000,17.990000,16.887123,780800
2014-04-07,17.900000,18.500000,17.549999,17.559999,16.483482,1217500
2014-04-14,17.719999,17.719999,17.120001,17.600000,16.521032,613200
2014-04-21,17.580000,17.580000,16.719999,16.959999,15.920268,797800
2014-04-28,17.000000,17.000000,15.550000,16.230000,15.235021,1162700
2014-05-05,16.129999,16.330000,15.250000,15.660000,14.699965,541600
2014-05-12,15.770000,17.250000,15.700000,16.910000,15.873331,810000
2014-05-19,16.790001,18.900000,16.610001,17.299999,16.264771,775000
2014-05-26,17.389999,18.690001,17.330000,18.370001,17.270744,693300
2014-06-02,18.389999,18.410000,17.250000,17.900000,16.828869,461500
2014-06-09,17.860001,17.930000,17.000000,17.209999,16.180157,405000
2014-06-16,17.219999,18.049999,17.020000,17.440001,16.396404,437500
2014-06-23,17.400000,17.600000,17.000000,17.200001,16.170757,595700
2014-06-30,17.170000,17.700001,16.900000,17.299999,16.264771,591600
2014-07-07,17.320000,17.320000,16.080000,16.260000,15.287008,397700
2014-07-14,16.430000,16.540001,15.920000,16.080000,15.117776,641100
2014-07-21,16.000000,16.480000,15.760000,16.090000,15.127184,542800
2014-07-28,16.070000,16.500000,15.950000,16.040001,15.080172,342100
2014-08-04,16.070000,18.650000,15.900000,17.590000,16.537422,674400
2014-08-11,17.700001,18.280001,17.450001,18.190001,17.101519,420300
2014-08-18,18.280001,19.160000,18.209999,18.490000,17.408054,406400
2014-08-25,18.510000,18.870001,18.360001,18.639999,17.549276,232200
2014-09-01,18.889999,19.030001,18.120001,18.500000,17.417469,283200
2014-09-08,18.559999,18.780001,18.400000,18.540001,17.455124,317800
2014-09-15,18.530001,18.770000,18.129999,18.260000,17.191511,309600
2014-09-22,18.209999,18.290001,17.620001,17.730000,16.692528,236700
2014-09-29,17.610001,18.219999,17.180000,17.969999,16.918484,261500
2014-10-06,18.110001,18.230000,17.299999,17.870001,16.824343,404200
2014-10-13,17.930000,18.709999,17.700001,18.059999,17.003212,292300
2014-10-20,18.040001,18.990000,17.680000,18.889999,17.784657,552700
2014-10-27,18.730000,20.020000,18.540001,19.959999,18.792038,474900
2014-11-03,19.959999,20.090000,19.049999,19.180000,18.057682,246000
2014-11-10,19.110001,19.920000,18.889999,19.469999,18.330709,370100
2014-11-17,19.520000,19.730000,19.020000,19.620001,18.496044,244900
2014-11-24,19.540001,19.650000,19.160000,19.209999,18.109526,126400
2014-12-01,19.250000,19.730000,19.170000,19.549999,18.430052,183500
2014-12-08,19.549999,20.070000,19.020000,19.340000,18.232084,192600
2014-12-15,19.510000,21.150000,19.170000,20.780001,19.589592,548100
2014-12-22,20.860001,21.200001,20.490000,20.950001,19.749853,152800
2014-12-29,21.000000,21.299999,20.020000,20.160000,19.005106,145900
2015-01-05,19.990000,20.790001,19.410000,20.440001,19.269070,286300
2015-01-12,20.350000,21.940001,20.030001,21.450001,20.221207,501000
2015-01-19,21.350000,21.990000,20.740000,21.809999,20.560585,376900
2015-01-26,21.930000,22.990000,21.610001,21.799999,20.551157,567800
2015-02-02,21.820000,22.809999,21.620001,22.330000,21.050797,317800
2015-02-09,22.330000,22.629999,21.410000,22.330000,21.050797,263400
2015-02-16,22.280001,23.290001,22.260000,22.680000,21.405344,189000
2015-02-23,22.639999,23.190001,22.450001,22.990000,21.697926,654900
2015-03-02,23.080000,24.240000,22.990000,23.410000,22.094322,570100
2015-03-09,23.410000,24.750000,23.410000,24.290001,22.924866,387600
2015-03-16,24.500000,24.910000,23.920000,24.629999,23.245754,1275200
2015-03-23,24.690001,25.200001,24.510000,24.690001,23.302385,695400
2015-03-30,24.700001,24.719999,23.350000,23.540001,22.217014,389500
2015-04-06,23.480000,23.799999,23.250000,23.660000,22.330275,433200
2015-04-13,23.600000,24.180000,22.980000,23.570000,22.245329,558700
2015-04-20,23.639999,24.430000,23.510000,24.110001,22.754988,479900
2015-04-27,24.129999,24.400000,23.350000,23.600000,22.273642,332700
2015-05-04,23.600000,25.370001,23.400000,24.469999,23.094751,1088900
2015-05-11,24.500000,25.230000,24.000000,25.170000,23.755407,468500
2015-05-18,25.209999,25.650000,24.900000,25.340000,23.940313,618500
2015-05-25,25.320000,25.559999,24.410000,24.879999,23.505722,370700
2015-06-01,24.910000,25.219999,24.549999,24.850000,23.477381,622400
2015-06-08,24.750000,24.969999,24.120001,24.330000,22.986099,644200
2015-06-15,24.120001,24.780001,23.790001,24.750000,23.382900,830300
2015-06-22,24.799999,24.940001,24.209999,24.350000,23.004997,577800
2015-06-29,24.180000,24.270000,23.670000,23.760000,22.447584,232500
2015-07-06,23.629999,24.059999,22.520000,23.290001,22.003548,525400
2015-07-13,23.400000,23.990000,23.230000,23.670000,22.362553,369400
2015-07-20,23.530001,24.570000,23.450001,23.840000,22.523170,551600
2015-07-27,23.799999,24.260000,23.240000,24.030001,22.702675,308000
2015-08-03,24.080000,24.080000,20.030001,22.730000,21.474482,1019900
2015-08-10,23.070000,23.879999,22.770000,23.420000,22.126366,636700
2015-08-17,23.309999,24.100000,23.010000,23.340000,22.074091,541400
2015-08-24,22.430000,23.290001,21.709999,23.240000,21.979515,1451900
2015-08-31,23.000000,23.620001,21.879999,22.639999,21.412060,953900
2015-09-07,22.920000,23.230000,22.270000,22.780001,21.544466,257200
2015-09-14,22.760000,22.799999,21.530001,21.620001,20.447382,469200
2015-09-21,21.639999,21.950001,20.709999,20.790001,19.662399,712100
2015-09-28,20.799999,21.830000,20.590000,21.590000,20.419006,632200
2015-10-05,21.690001,21.930000,21.020000,21.459999,20.296055,564400
2015-10-12,21.420000,22.370001,21.400000,21.920000,20.731106,493100
2015-10-19,21.780001,22.360001,21.639999,21.990000,20.797312,564200
2015-10-26,22.000000,22.270000,21.250000,21.510000,20.343344,446000
2015-11-02,21.490000,24.170000,21.010000,24.129999,22.821241,836800
2015-11-09,24.129999,24.129999,22.879999,23.620001,22.338905,869700
2015-11-16,23.500000,24.959999,23.230000,24.090000,22.807831,760900
2015-11-23,23.969999,25.170000,23.879999,24.790001,23.470577,649700
2015-11-30,24.930000,25.959999,24.580000,25.590000,24.227997,760900
2015-12-07,25.590000,25.690001,23.660000,23.959999,22.684748,431400
